YEAR,MO,DY,T2M_MAX,T2M_MIN
1991,1,1,6.45,3.25
1991,1,2,12.74,5.79
1991,1,3,11.11,8.45
1991,1,4,8.1,3.57
1991,1,5,9.22,2.93
1991,1,6,8.54,3.89
1991,1,7,9.27,4.53
1991,1,8,10.34,5.56
1991,1,9,12.73,7.88
1991,1,10,14.0,6.68
1991,1,11,10.79,4.1
1991,1,12,7.77,3.49
1991,1,13,5.15,-0.77
1991,1,14,3.88,-2.62
1991,1,15,3.97,-3.61
1991,1,16,4.78,-2.61
1991,1,17,9.15,0.16
1991,1,18,7.86,-2.54
1991,1,19,6.9,1.18
1991,1,20,7.19,-0.72
1991,1,21,9.65,1.43
1991,1,22,5.76,0.32
1991,1,23,5.14,-1.89
1991,1,24,2.96,-4.11
1991,1,25,3.46,-4.01
1991,1,26,2.21,-3.78
1991,1,27,1.94,-2.49
1991,1,28,1.56,-4.17
1991,1,29,1.5,-4.45
1991,1,30,1.3,-6.24
1991,1,31,2.16,-3.54
1991,2,1,1.82,-4.92
1991,2,2,-0.58,-7.04
1991,2,3,1.14,-8.0
1991,2,4,1.63,-7.41
1991,2,5,1.57,-7.69
1991,2,6,-3.49,-10.43
1991,2,7,-4.63,-12.0
1991,2,8,-3.46,-9.79
1991,2,9,0.39,-5.94
1991,2,10,-1.23,-7.09
1991,2,11,1.69,-2.92
1991,2,12,2.81,-3.21
1991,2,13,1.65,-4.6
1991,2,14,3.05,-4.52
1991,2,15,2.82,-2.75
1991,2,16,5.09,-2.6
1991,2,17,4.83,-3.09
1991,2,18,4.29,-3.24
1991,2,19,9.46,-0.94
1991,2,20,7.56,-1.44
1991,2,21,9.66,0.86
1991,2,22,9.62,1.42
1991,2,23,13.91,1.81
1991,2,24,15.68,0.97
1991,2,25,14.08,1.3
1991,2,26,15.64,2.06
1991,2,27,11.4,1.38
1991,2,28,9.9,2.42
1991,3,1,10.24,1.9
1991,3,2,9.16,4.17
1991,3,3,11.65,2.99
1991,3,4,14.64,2.87
1991,3,5,15.4,7.84
1991,3,6,19.58,7.61
1991,3,7,18.69,8.67
1991,3,8,16.67,8.11
1991,3,9,14.68,5.51
1991,3,10,13.04,2.48
1991,3,11,14.22,6.8
1991,3,12,17.43,4.73
1991,3,13,18.85,4.58
1991,3,14,19.23,4.72
1991,3,15,13.1,7.39
1991,3,16,19.1,7.06
1991,3,17,14.72,6.69
1991,3,18,14.64,6.44
1991,3,19,16.33,8.11
1991,3,20,17.44,10.8
1991,3,21,12.64,4.09
1991,3,22,11.8,3.68
1991,3,23,7.64,3.98
1991,3,24,12.5,3.28
1991,3,25,10.81,3.25
1991,3,26,12.07,4.11
1991,3,27,13.49,2.85
1991,3,28,13.84,1.26
1991,3,29,11.35,-1.78
1991,3,30,12.55,-2.92
1991,3,31,14.76,-1.83
1991,4,1,17.44,3.84
1991,4,2,16.45,3.28
1991,4,3,12.9,3.73
1991,4,4,10.32,2.47
1991,4,5,11.39,3.53
1991,4,6,12.84,3.12
1991,4,7,14.26,5.83
1991,4,8,15.36,5.54
1991,4,9,17.42,4.94
1991,4,10,20.1,3.32
1991,4,11,23.71,6.62
1991,4,12,23.05,7.96
1991,4,13,21.96,6.06
1991,4,14,18.82,7.55
1991,4,15,20.8,6.87
1991,4,16,15.95,2.85
1991,4,17,10.08,0.75
1991,4,18,8.51,0.25
1991,4,19,7.15,2.64
1991,4,20,6.56,-0.74
1991,4,21,8.5,-2.31
1991,4,22,9.67,1.37
1991,4,23,12.01,-0.14
1991,4,24,14.07,-0.51
1991,4,25,13.42,2.47
1991,4,26,17.19,3.1
1991,4,27,14.12,5.41
1991,4,28,16.71,2.43
1991,4,29,15.19,0.1
1991,4,30,15.47,7.13
1991,5,1,13.25,5.64
1991,5,2,13.99,5.0
1991,5,3,11.8,2.99
1991,5,4,10.55,2.61
1991,5,5,12.29,3.92
1991,5,6,11.61,3.58
1991,5,7,12.39,4.57
1991,5,8,14.1,4.45
1991,5,9,17.81,5.05
1991,5,10,15.41,5.91
1991,5,11,18.55,4.23
1991,5,12,18.58,7.55
1991,5,13,21.1,5.28
1991,5,14,17.36,4.66
1991,5,15,15.65,3.4
1991,5,16,13.56,3.67
1991,5,17,14.91,2.51
1991,5,18,16.26,1.04
1991,5,19,18.4,4.24
1991,5,20,21.58,8.98
1991,5,21,24.55,7.4
1991,5,22,25.37,10.23
1991,5,23,18.65,7.48
1991,5,24,18.37,4.84
1991,5,25,20.38,4.83
1991,5,26,20.33,7.99
1991,5,27,20.69,7.09
1991,5,28,22.0,8.26
1991,5,29,23.45,8.49
1991,5,30,25.17,9.85
1991,5,31,24.83,11.35
1991,6,1,19.83,7.78
1991,6,2,22.74,5.24
1991,6,3,16.58,6.63
1991,6,4,16.03,4.65
1991,6,5,17.7,3.39
1991,6,6,19.03,10.28
1991,6,7,17.37,10.43
1991,6,8,19.7,9.39
1991,6,9,21.47,12.23
1991,6,10,19.67,9.93
1991,6,11,19.69,7.8
1991,6,12,23.11,11.16
1991,6,13,17.38,11.39
1991,6,14,21.67,10.33
1991,6,15,24.04,10.66
1991,6,16,18.2,9.31
1991,6,17,18.21,8.15
1991,6,18,16.32,7.27
1991,6,19,18.23,8.21
